"swt","sr","st100","st255","sm100","sm255","doc_gwlf","cyday"
16.448545,218.7083333,13.82583333,12.03416667,0.397583333,0.397541667,10.726,-0.866025403784439
16.419421,235.0416667,13.71333333,12.07166667,0.397,0.397,12.248,-0.857167300702112
16.69282,257.7916667,13.59458333,12.105,0.397458333,0.397,12.646,-0.848048096156426
16.445292,58.58333333,13.56958333,12.14666667,0.398625,0.397083333,10.947,-0.838670567945424
16.45819,180.1666667,13.56541667,12.16333333,0.40725,0.398,12.589,-0.829037572555042
16.348856,114.8333333,13.605,12.205,0.407666667,0.398,12.831,-0.819152044288992
16.483103,184,13.61541667,12.22791667,0.407041667,0.398916667,12.134,-0.809016994374948
16.470633,229.9166667,13.71125,12.255,0.40775,0.399,12.372,-0.798635510047293
16.442716,169.5416667,13.82375,12.30291667,0.407,0.399166667,11.846,-0.788010753606722
16.583075,95.41666667,13.81125,12.33208333,0.406083333,0.4,10.552,-0.777145961456971
16.885696,192.375,13.76333333,12.355,0.405166667,0.4,11.725,-0.766044443118978
17.229982,201.75,13.905,12.405,0.403416667,0.4,11.318,-0.754709580222772
17.650652,188.25,14.1925,12.43,0.401541667,0.4,10.933,-0.743144825477394
17.926816,241.3333333,14.54458333,12.47375,0.399291667,0.4,10.659,-0.731353701619171
18.041549,218.125,14.95083333,12.52583333,0.396958333,0.4,10.295,-0.719339800338651
18.2836,159.125,15.29666667,12.58,0.394291667,0.4,8.322,-0.707106781186548
18.220806,213.3333333,15.48416667,12.6425,0.392666667,0.4,11.164,-0.694658370458998
18.385296,205.5833333,15.5675,12.70708333,0.392,0.399541667,10.725,-0.681998360062499
17.990842,84.41666667,15.64458333,12.77166667,0.392583333,0.399,10.122,-0.669130606358858
17.860784,200.125,15.58208333,12.83416667,0.394875,0.399,11.422,-0.656059028990508
18.128903,211.0833333,15.57791667,12.8925,0.395583333,0.399,11.901,-0.642787609686539
18.063404,229.4583333,15.67583333,12.955,0.39475,0.399,12.413,-0.629320391049837
18.05248,167.625,15.76958333,13.01958333,0.392375,0.399,11.47,-0.615661475325658
18.148392,212,15.81125,13.07791667,0.392,0.399,11.86,-0.601815023152048
17.881508,177.2083333,15.79666667,13.13625,0.393291667,0.399,10.9,-0.587785252292473
17.80974,195.5833333,15.66541667,13.1925,0.397166667,0.399,11.344,-0.573576436351046
17.502954,70.83333333,15.50916667,13.24875,0.400958333,0.399,12.082,-0.559192903470747
17.431407,102.375,15.28416667,13.29875,0.405125,0.399,13.727,-0.544639035015027
17.359114,206.4583333,15.0925,13.34041667,0.409708333,0.399375,13.291,-0.529919264233205
17.277203,157.3333333,14.92791667,13.37166667,0.409625,0.4,12.177,-0.515038074910054
17.222111,188.0833333,14.81541667,13.405,0.408125,0.400333333,12.787,-0.5
16.951924,170.4583333,14.78,13.4425,0.40725,0.401,11.517,-0.484809620246337
