"v","st255","sm100","sm255","cyday"
161168125.579887,13.6325,0.339416666666667,0.359,-0.999847695156391
161399125.579887,13.747083125,0.336666666666667,0.359,-0.999390827019096
160938125.579887,13.8616666666667,0.334541666666667,0.359,-0.998629534754574
159732125.579887,13.9720831875,0.334875,0.358458333333333,-0.997564050259824
159674125.579887,14.0845832708333,0.334958333333333,0.358,-0.996194698091746
159274125.579887,14.2033332708333,0.333125,0.358,-0.994521895368273
159388125.579887,14.3158331666667,0.331583333333333,0.358,-0.992546151641322
160420125.579887,14.42625,0.329333333333333,0.357583333333333,-0.99026806874157
161676125.579887,14.5345831041667,0.326541666666667,0.357,-0.987688340595138
161572125.579887,14.65125,0.323041666666667,0.357,-0.984807753012208
161053125.579887,14.7616664583333,0.321208333333333,0.357,-0.981627183447664
160392125.579887,14.8720833333333,0.3205,0.356666666666667,-0.978147600733806
160075125.579887,14.984583125,0.320166666666667,0.356,-0.974370064785235
159961125.579887,15.0887499583333,0.318916666666667,0.356,-0.970295726275996
158873125.579887,15.2012499583333,0.316916666666667,0.356,-0.965925826289068
159789125.579887,15.3095831458333,0.315708333333333,0.355125,-0.961261695938319
159789125.579887,15.4179166666667,0.315125,0.355,-0.956304755963036
159789125.579887,15.5241664166667,0.314041666666667,0.355,-0.951056516295154
158827125.579887,15.62625,0.313333333333333,0.354708333333333,-0.945518575599317
158018125.579887,15.7283331666667,0.312541666666667,0.354,-0.939692620785908
157353125.579887,15.8262499166667,0.310958333333333,0.354,-0.933580426497202
157790125.579887,15.9241661666667,0.31,0.354,-0.927183854566787
158189125.579887,16.02416725,0.311291666666667,0.354,-0.92050485345244
156148125.579887,16.11166725,0.314208333333333,0.353125,-0.913545457642601
154574125.579887,16.197083875,0.315,0.353,-0.90630778703665
153013125.579887,16.2866674583333,0.315041666666667,0.353,-0.898794046299167
151684125.579887,16.37208375,0.315458333333333,0.352791666666667,-0.891006524188368
151242125.579887,16.459583875,0.316083333333333,0.352,-0.882947592858927
151176125.579887,16.5512510833333,0.315375,0.352,-0.874619707139396
147578125.579887,17.038751,0.310666666666667,0.351,-0.829037572555042
146226125.579888,17.14916675,0.308458333333333,0.350458333333333,-0.819152044288992
146387125.579888,17.2595840416667,0.305291666666667,0.35,-0.809016994374948
146549125.579888,17.36791725,0.302875,0.35,-0.798635510047293
144936125.579888,17.480417125,0.301583333333333,0.349583333333333,-0.788010753606722
144936125.579888,17.5929175,0.302125,0.349,-0.777145961456971
145418125.579888,17.7033338333333,0.3015,0.349,-0.766044443118978
146884125.579888,17.807501,0.301666666666667,0.349,-0.754709580222772
148067125.579888,17.9033334166667,0.305041666666667,0.349,-0.743144825477394
148175125.579888,17.9950005,0.30625,0.348583333333333,-0.731353701619171
147849125.579888,18.0804179166667,0.307208333333333,0.348,-0.719339800338651
149923125.579889,18.15125,0.308583333333333,0.348,-0.707106781186548
151794125.579889,18.2345840416667,0.309791666666667,0.348,-0.694658370458998
152902125.579889,18.30125125,0.309541666666667,0.348,-0.681998360062499
151673125.579889,18.3658336666667,0.309833333333333,0.348,-0.669130606358858
153002125.579889,18.434583625,0.310541666666667,0.348,-0.656059028990508
154518125.579889,18.4908339166667,0.313666666666667,0.347416666666667,-0.642787609686539
155810125.579889,18.5366673333333,0.320916666666667,0.347,-0.629320391049837
153737125.579889,18.58041825,0.322583333333333,0.347,-0.615661475325658
153068125.579889,18.6220833333333,0.321708333333333,0.347,-0.601815023152048
152847125.579889,18.67,0.320583333333333,0.346666666666667,-0.587785252292473
150912125.57989,18.717917625,0.320125,0.346,-0.573576436351046
148883125.57989,18.8741666666667,0.321,0.346,-0.515038074910054
147187125.579889,18.92,0.321125,0.346,-0.5
146280125.579889,18.942917125,0.3215,0.345541666666667,-0.484809620246337
145558125.57989,18.970001,0.320541666666667,0.345,-0.469471562785891
149430125.57989,19.02,0.325208333333333,0.345,-0.453990499739547
